country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,38.42823,27.2177,302.29,0.36,0.57,2024-10-03,50,N21,VIIRS,n,2.0NRT,287.66,0.63,N
TUR,38.45515,27.26358,299.54,0.36,0.57,2024-10-03,50,N21,VIIRS,n,2.0NRT,288.44,0.62,N
TUR,38.6581,30.62074,295.93,0.53,0.67,2024-10-03,50,N21,VIIRS,n,2.0NRT,280.27,1.49,N
TUR,38.73544,26.94617,306.24,0.34,0.56,2024-10-03,50,N21,VIIRS,n,2.0NRT,290.87,1.33,N
TUR,38.7364,26.94244,303.39,0.34,0.56,2024-10-03,50,N21,VIIRS,n,2.0NRT,289.24,1.33,N
TUR,38.73929,26.93132,308.72,0.34,0.56,2024-10-03,50,N21,VIIRS,n,2.0NRT,288.27,1.27,N
TUR,38.74521,26.95043,300.08,0.34,0.56,2024-10-03,50,N21,VIIRS,n,2.0NRT,286.45,0.78,N
TUR,38.75395,26.93768,306.99,0.34,0.56,2024-10-03,50,N21,VIIRS,n,2.0NRT,286.1,0.98,N
TUR,39.16906,27.63123,296.85,0.36,0.57,2024-10-03,50,N21,VIIRS,n,2.0NRT,286.19,0.91,N
TUR,39.48186,30.0418,301.08,0.47,0.64,2024-10-03,50,N21,VIIRS,n,2.0NRT,280.5,1.36,N
TUR,39.60614,27.87868,295.3,0.36,0.57,2024-10-03,50,N21,VIIRS,n,2.0NRT,283.93,0.55,N
TUR,40.18538,29.22371,295.66,0.41,0.6,2024-10-03,50,N21,VIIRS,n,2.0NRT,285.23,0.45,N
TUR,41.02023,28.55343,300.88,0.36,0.57,2024-10-03,50,N21,VIIRS,n,2.0NRT,284.99,1.18,N
TUR,41.25662,31.41563,301.5,0.49,0.65,2024-10-03,50,N21,VIIRS,n,2.0NRT,283.91,1.66,N
TUR,41.51484,32.16695,300.57,0.52,0.67,2024-10-03,50,N21,VIIRS,n,2.0NRT,282.05,1.06,N
TUR,41.79681,26.70323,295.11,0.55,0.51,2024-10-03,50,N21,VIIRS,n,2.0NRT,284.04,1.22,N
